iter	Passed	Remaining
1262	33202	19374
1263	33224	19345
1264	33245	19316
1265	33268	19288
1266	33290	19259
1267	33311	19230
1268	33333	19201
1269	33353	19171
1270	33374	19142
1271	33396	19113
1272	33417	19084
1273	33439	19055
1274	33460	19026
1275	33482	18997
1276	33505	18970
1277	33526	18940
1278	33549	18912
1279	33570	18883
1280	33595	18856
1281	33621	18830
1282	33644	18802
1283	33669	18775
1284	33691	18746
1285	33712	18717
1286	33734	18688
1287	33757	18661
1288	33777	18631
1289	33798	18602
1290	33819	18573
1291	33840	18544
1292	33861	18515
1293	33864	18476
1294	33886	18447
1295	33908	18419
1296	33913	18381
1297	33934	18352
1298	33954	18323
1299	33975	18294
1300	33997	18266
1301	34020	18238
1302	34041	18209
1303	34071	18185
1304	34097	18159
1305	34122	18132
1306	34144	18104
1307	34167	18076
1308	34190	18048
1309	34210	18019
1310	34237	17993
1311	34241	17955
1312	34265	17928
1313	34289	17901
1314	34309	17872
1315	34330	17843
1316	34352	17815
1317	34372	17786
1318	34394	17757
1319	34415	17729
1320	34438	17701
1321	34458	17672
1322	34493	17650
1323	34547	17639
1324	34602	17627
1325	34648	17611
1326	34678	17587
1327	34706	17562
1328	34740	17539
1329	34762	17511
1330	34783	17482
1331	34791	17447
1332	34813	17419
1333	34826	17387
1334	34847	17358
1335	34865	17328
1336	34886	17299
1337	34906	17270
1338	34927	17242
1339	34949	17214
1340	34971	17185
1341	34993	17157
1342	35013	17128
1343	35039	17102
1344	35068	17078
1345	35093	17051
1346	35115	17023
1347	35136	16994
1348	35158	16966
1349	35180	16938
1350	35204	16911
1351	35227	16883
1352	35254	16858
1353	35277	16830
1354	35298	16802
1355	35320	16774
1356	35342	16746
1357	35364	16718
1358	35383	16689
1359	35404	16661
1360	35426	16632
1361	35447	16604
1362	35470	16577
1363	35498	16551
1364	35529	16528
1365	35554	16501
1366	35575	16473
1367	35596	16445
1368	35617	16416
1369	35638	16388
1370	35658	16359
1371	35677	16330
1372	35699	16302
1373	35721	16274
1374	35743	16246
1375	35765	16219
1376	35787	16191
1377	35809	16163
1378	35829	16134
1379	35848	16106
1380	35870	16078
1381	35891	16050
1382	35911	16021
1383	35932	15993
1384	35957	15966
1385	35982	15940
1386	36009	15914
1387	36031	15886
1388	36052	15858
1389	36073	15830
1390	36095	15803
1391	36118	15775
1392	36142	15748
1393	36163	15721
1394	36184	15693
1395	36206	15665
1396	36230	15638
1397	36250	15609
1398	36271	15582
1399	36294	15554
1400	36316	15527
1401	36339	15499
1402	36359	15471
1403	36380	15443
1404	36401	15415
1405	36423	15387
1406	36444	15359
1407	36465	15332
1408	36489	15305
1409	36499	15273
1410	36532	15249
1411	36562	15225
1412	36584	15198
1413	36606	15170
1414	36628	15143
1415	36649	15115
1416	36671	15087
1417	36691	15059
1418	36712	15031
1419	36733	15003
1420	36756	14976
1421	36778	14949
1422	36799	14921
1423	36820	14893
1424	36842	14866
1425	36861	14837
1426	36883	14810
1427	36903	14782
1428	36925	14754
1429	36958	14731
1430	37064	14737
1431	37119	14723
1432	37149	14698
1433	37169	14670
1434	37193	14644
1435	37213	14616
1436	37235	14588
1437	37264	14563
1438	37286	14536
1439	37307	14508
1440	37330	14481
1441	37351	14453
1442	37372	14425
1443	37395	14398
1444	37415	14370
1445	37435	14342
1446	37458	14315
1447	37479	14287
1448	37520	14267
1449	37586	14256
1450	37640	14241
1451	37669	14216
1452	37698	14192
1453	37728	14167
1454	37754	14141
1455	37777	14114
1456	37797	14086
1457	37799	14051
1458	37820	14024
1459	37842	13996
1460	37865	13969
1461	37885	13941
1462	37906	13913
1463	37928	13886
1464	37948	13858
1465	37971	13831
1466	37992	13803
1467	38014	13776
1468	38037	13749
1469	38064	13724
1470	38094	13699
1471	38115	13671
1472	38137	13644
1473	38160	13617
1474	38181	13590
1475	38201	13562
1476	38226	13535
1477	38250	13509
1478	38275	13483
1479	38302	13457
1480	38324	13430
1481	38346	13403
1482	38368	13375
1483	38390	13348
1484	38391	13314
1485	38412	13286
1486	38433	13259
1487	38454	13231
1488	38477	13204
1489	38500	13178
1490	38531	13153
1491	38555	13127
1492	38582	13101
1493	38602	13074
1494	38623	13046
1495	38645	13019
1496	38667	12992
1497	38688	12965
1498	38712	12938
1499	38732	12910
1500	38754	12883
1501	38775	12856
1502	38798	12829
1503	38820	12802
1504	38841	12775
1505	38864	12748
1506	38887	12721
1507	38908	12694
1508	38930	12667
1509	38951	12639
1510	38983	12615
1511	39015	12592
1512	39038	12565
1513	39060	12538
1514	39082	12511
1515	39103	12484
1516	39128	12458
1517	39150	12431
1518	39170	12403
1519	39192	12376
1520	39213	12349
1521	39234	12322
1522	39256	12295
1523	39279	12268
1524	39300	12241
1525	39324	12214
1526	39347	12188
1527	39368	12161
1528	39388	12133
1529	39410	12106
1530	39439	12081
1531	39466	12056
1532	39490	12029
1533	39512	12003
1534	39534	11976
1535	39555	11949
1536	39576	11921
1537	39600	11895
1538	39622	11868
1539	39646	11842
1540	39668	11815
1541	39689	11788
1542	39713	11762
1543	39738	11736
1544	39762	11710
1545	39785	11683
1546	39805	11656
1547	39826	11628
1548	39847	11601
1549	39868	11574
1550	39888	11547
1551	39914	11521
1552	39946	11497
1553	39974	11472
1554	40001	11447
1555	40022	11420
1556	40043	11393
1557	40064	11366
1558	40085	11338
1559	40105	11311
1560	40132	11286
1561	40153	11259
1562	40155	11227
1563	40177	11200
1564	40198	11173
1565	40219	11146
1566	40245	11120
1567	40268	11094
1568	40290	11067
1569	40312	11041
1570	40334	11014
1571	40360	10988
1572	40391	10964
1573	40417	10938
1574	40439	10912
1575	40459	10885
1576	40483	10859
1577	40511	10833
1578	40554	10812
1579	40588	10789
1580	40628	10767
1581	40639	10737
1582	40673	10714
1583	40702	10689
1584	40731	10664
1585	40758	10639
1586	40780	10612
1587	40805	10586
1588	40836	10562
1589	40865	10537
1590	40886	10510
1591	40907	10483
1592	40929	10457
1593	40951	10430
1594	40973	10403
1595	40993	10376
1596	41018	10351
1597	41038	10323
1598	41060	10297
1599	41082	10270
1600	41103	10243
1601	41125	10217
1602	41147	10190
1603	41168	10163
1604	41188	10136
1605	41210	10110
1606	41233	10083
1607	41254	10057
1608	41282	10031
1609	41306	10006
1610	41339	9982
1611	41366	9956
1612	41389	9930
1613	41410	9903
1614	41431	9876
1615	41453	9850
1616	41473	9823
1617	41499	9797
1618	41522	9771
1619	41543	9744
1620	41566	9718
1621	41587	9691
1622	41608	9665
1623	41631	9638
1624	41653	9612
1625	41674	9585
1626	41695	9558
1627	41716	9532
1628	41736	9505
1629	41759	9479
1630	41791	9454
1631	41816	9429
1632	41838	9402
1633	41861	9376
1634	41883	9350
1635	41903	9323
1636	41924	9296
1637	41926	9265
1638	41946	9238
1639	41968	9212
1640	41988	9185
1641	42009	9159
1642	42030	9132
1643	42057	9107
1644	42080	9081
1645	42102	9054
1646	42122	9028
1647	42144	9001
1648	42165	8975
1649	42187	8948
1650	42208	8922
1651	42235	8896
1652	42262	8871
1653	42286	8845
1654	42306	8819
1655	42331	8793
1656	42354	8767
1657	42375	8740
1658	42398	8714
1659	42420	8688
1660	42446	8663
1661	42470	8637
1662	42491	8610
1663	42512	8584
1664	42518	8554
1665	42540	8528
1666	42563	8502
